pH;ratio
8.51;100
8.59;66.66666667
8.59;66.66666667
8.62;50
8.66;40
8.69;40
8.72;30.76923077
8.74;33.33333333
8.79;23.52941176
8.79;25
8.84;22.22222222
8.88;18.18181818
8.9;18.18181818
8.93;14.28571429
9;11.76470588
9.03;15.38461538
9.08;9.090909091
9.11;13.33333333
9.14;8
9.16;9.523809524
9.2;6.896551724
9.21;8
9.28;5.714285714
9.28;6.896551724
9.34;4.761904762
9.34;5.714285714
9.36;5.128205128
9.4;3.921568627
9.46;3.278688525
9.46;4.545454545
9.5;3.571428571
9.54;3.174603175
9.55;2.666666667
9.56;2.51
9.58;2.405
9.6;2.245
9.62;2.247191011
9.62;2.247191011
9.63;2.105
9.65;2
9.65;1.96
9.68;1.825
9.69;1.818181818
9.69;1.805
9.71;1.74
9.72;1.64
9.73;1.666666667
9.74;1.54
9.75;1.525
9.77;1.470588235
9.79;1.470588235
9.79;1.385
9.8;1.36
9.81;1.333333333
9.82;1.255
9.83;1.25
9.85;1.19047619
9.85;1.234567901
9.87;1.095
9.87;1.125
9.91;1.020408163
9.91;0.995
9.92;1.020408163
9.92;0.965
9.94;0.925
9.95;0.909090909
9.96;0.895
9.98;0.877192982
9.99;0.808
9.99;0.8
10;0.796812749
10.03;0.72
10.04;0.727272727
10.04;0.735294118
10.04;0.7
10.07;0.645
10.08;0.660066007
10.09;0.643086817
10.09;0.61
10.1;0.604229607
10.11;0.585
10.14;0.558659218
10.15;0.539083558
10.16;0.527704485
10.16;0.515
10.16;0.515
10.17;0.498753117
10.19;0.488997555
10.19;0.465
10.21;0.464037123
10.21;0.425
10.22;0.44
10.24;0.430107527
10.26;0.4
10.28;0.37
10.29;0.355
10.33;0.31
10.36;0.31
10.39;0.265
10.42;0.245
10.43;0.23
10.48;0.205
10.49;0.19
10.54;0.165
10.55;0.165
10.56;0.155
10.6;0.135
10.64;0.115
10.66;0.11
10.67;0.105
10.74;0.08
10.74;0.075
10.77;0.065
10.84;0.045
10.85;0.05
10.88;0.04
10.89;0.035
10.94;0.025
10.95;0.02
10.97;0.015
11;0.01
11.02;0
11.03;0.005
11.05;0
