,Experiment,Power output [W/m^2],c([Ru(bpy(3]Cl2) [M],c(Na2S2O8) [M],c(buffer) [M],pH [-],buffer used,rate,annotations,max rate,max rate ydiff,rate constant,group
0,MRG-059-ZM-1-1,991,0.00001,0.006,0.1,9.6,4,0.01446,new vial in use,0.6143782805809312,0.7292361326088111,0.1418255305060733,MRG-059-ZM-1
1,MRG-059-ZM-1-2,991,0.00001,0.006,0.1,9.6,4,0.01412,,0.6366545592314217,0.6993640851198586,0.1273059738050525,MRG-059-ZM-1
2,MRG-059-ZM-1-3,991,0.00001,0.006,0.1,9.6,4,0.01439,,0.6488361172944767,0.7598114476067414,0.0025897136148388114,MRG-059-ZM-1
3,MRG-059-ZM-1-4,991,0.00001,0.006,0.1,9.6,4,0.01393,,0.6343475609815876,0.7463444220422129,0.1290116537325897,MRG-059-ZM-1
4,MRG-059-ZM-1-5,991,0.00001,0.006,0.1,9.6,4,0.01348,,0.6559270065023317,0.7238230803230715,0.0025563677803198278,MRG-059-ZM-1
5,MRG-059-ZM-1-6,991,0.00001,0.006,0.1,9.6,4,0.01343,,0.6667632605540686,0.7636079155775675,0.1366907999571051,MRG-059-ZM-1
6,MRG-059-ZM-1-7,991,0.00001,0.006,0.1,9.6,4,0.01335,,0.6670556023452622,0.7733344083083376,0.16515457346402054,MRG-059-ZM-1
7,MRG-059-ZM-1-8,991,0.00001,0.006,0.1,9.6,4,0.01358,,0.6637284388430895,0.7718576239565368,0.1791029046165812,MRG-059-ZM-1
8,MRG-059-ZM-1-9,991,0.00001,0.006,0.1,9.6,4,0.0136,,0.6621493348648971,0.7533697408819517,0.1385052874837131,MRG-059-ZM-1
9,MRG-059-ZM-1-10,991,0.00001,0.006,0.1,9.6,4,0.01447,,0.8064634399170747,0.8882046274386093,0.9876900772624597,MRG-059-ZM-1
10,MRG-059-ZM-1-11,991,0.00001,0.006,0.1,9.6,4,0.01418,,0.7959250182956142,0.9214506783124958,0.44676362950915316,MRG-059-ZM-1
11,MRG-059-ZM-1-12,991,0.00001,0.006,0.1,9.6,4,0.01431,,0.8021012763296542,0.922454037057286,0.5090575440757716,MRG-059-ZM-1
20,MRG-059-ZN-5-3,991,0.00001,0.006,0.1,9.6,4,0.01409,MRG-059-ZN-5C,0.807536992056272,0.9320463738708227,0.002699826246551995,MRG-059-ZN-5
21,MRG-059-ZN-5-4,991,0.00001,0.006,0.1,9.6,4,0.01229,MRG-059-ZN-5D,0.6081951929540238,0.6770206179608631,0.002409937951866774,MRG-059-ZN-5
22,MRG-059-ZN-5-5,991,0.00001,0.006,0.1,9.6,4,0.01425,MRG-059-ZN-5E,0.6764037698185366,0.803326301434307,0.1354932027668243,MRG-059-ZN-5
23,MRG-059-ZN-5-8,991,0.00001,0.006,0.1,9.6,4,0.0135,MRG-059-ZN-5H,0.7113023209746278,0.7893060468146017,0.002603022005926748,MRG-059-ZN-5
24,MRG-059-ZN-5-9,991,0.00001,0.006,0.1,9.6,4,0.01252,MRG-059-ZN-5I,0.6643230247982549,0.705538329768733,0.0024328180937638728,MRG-059-ZN-5
42,MRG-059-ZO-1-1,991,0.00001,0.006,0.1,9.6,4,0.01331,MRG-059-ZO-1A,0.6683875706950687,0.728620150112395,0.11060024830328696,MRG-059-ZO-1
43,MRG-059-ZO-1-2,991,0.00001,0.006,0.1,9.6,4,0.01294,MRG-059-ZO-1B,0.6760929121170867,0.7696409848138781,0.10849469279093878,MRG-059-ZO-1
44,MRG-059-ZO-1-3,991,0.00001,0.006,0.1,9.6,4,0.0118,MRG-059-ZO-1C,0.6349260997799822,0.7388602309277624,0.0026059816323233437,MRG-059-ZO-1
59,MRG-059-ZP-2-1,991,0.00001,0.006,0.1,9.6,4,0.01236,,0.6431277468320976,0.7146549181756405,0.09798712737062718,MRG-059-ZP-2
60,MRG-059-ZP-2-2,991,0.00001,0.006,0.1,9.6,4,0.01283,,0.6625981916121377,0.724580773878565,0.0026442501995701893,MRG-059-ZP-2
